increase_frequency:10000,,,first_frequency:10,last_frequency:100,
frequency,,,transmission_ep,receiving_ep,power_efficiency
10kHz,,,,,
80,,2.4,1.43,2.17,
80,,2.5,1.44,2.17,
80,,2.6,1.43,2.17,
80,,2.7,1.39,2.18,
80,,2.8,1.44,2.17,
80,,2.9,1.45,2.15,
80,,3,1.44,2.18,
80,,3.1,1.38,2.18,
80,,3.2,1.44,2.18,
80,,3.3,1.43,2.16,
80,,3.4,1.44,2.17,
80,,3.5,1.44,2.21,
80,,3.6,1.43,2.17,
80,,3.7,1.43,2.17,
80,,3.8,1.41,2.17,
80,,3.9,1.43,2.18,
80,,4,1.48,2.17,
80,,4.1,1.41,2.17,
80,,4.2,1.43,2.17,
80,,4.3,1.43,2.17,
80,,4.4,1.43,2.17,
80,,4.5,1.43,2.17,
80,,4.6,1.43,2.19,
80,,4.7,1.42,2.17,
80,,4.8,1.43,2.29,
80,,4.9,1.47,2.17,
80,,5,1.43,2.18,
90.0kHz,,,,,
90,,0.1,1.61,2.32,
90,,0.2,1.6,2.35,
90,,0.3,1.66,2.37,
90,,0.4,1.6,2.35,
90,,0.5,1.6,2.36,
90,,0.6,1.61,2.35,
90,,0.7,1.6,2.36,
90,,0.8,1.62,2.36,
90,,0.9,1.62,2.35,
90,,1,1.64,2.36,
90,,1.1,1.66,2.35,
90,,1.2,1.63,2.36,
90,,1.3,1.63,2.36,
90,,1.4,1.62,2.35,
90,,1.5,1.62,2.35,
90,,1.6,1.62,2.36,
90,,1.7,1.62,2.36,
90,,1.8,1.65,2.47,
90,,1.9,1.6,2.35,
90,,2,1.64,2.35,
90,,2.1,1.63,2.35,
90,,2.2,1.63,2.45,
90,,2.3,1.62,2.35,
90,,2.4,1.62,2.35,
90,,2.5,1.63,2.39,
90,,2.6,1.58,2.34,
90,,2.7,1.65,2.35,
90,,2.8,1.63,2.35,
90,,2.9,1.62,2.37,
90,,3,1.62,2.35,
90,,3.1,1.62,2.35,
90,,3.2,1.62,2.34,
90,,3.3,1.66,2.34,
90,,3.4,1.61,2.34,
90,,3.5,1.63,2.35,
90,,3.6,1.62,2.35,
90,,3.7,1.62,2.34,
90,,3.8,1.62,2.34,
90,,3.9,1.61,2.35,
90,,4,1.62,2.38,
90,,4.1,1.64,2.34,
90,,4.2,1.59,2.34,
90,,4.3,1.61,2.25,
90,,4.4,1.62,2.34,
90,,4.5,1.61,2.34,
90,,4.6,1.62,2.34,
90,,4.7,1.62,2.39,
90,,4.8,1.6,2.34,
90,,4.9,1.66,2.33,
90,,5,1.59,2.32,
100.0kHz,,,,,
100,,0.1,2.01,2.39,
100,,0.2,2.01,2.35,
100,,0.3,2.02,2.36,
100,,0.4,2,2.36,
100,,0.5,2.11,2.37,
100,,0.6,2.02,2.36,
100,,0.7,2.02,2.37,
100,,0.8,2.02,2.36,
100,,0.9,2,2.35,
100,,1,2.06,2.31,
100,,1.1,2.02,2.38,
100,,1.2,2.02,2.36,
100,,1.3,2.01,2.35,
100,,1.4,2.03,2.37,
100,,1.5,2.11,2.35,
100,,1.6,2.03,2.37,
100,,1.7,2.01,2.36,
100,,1.8,2.01,2.36,
100,,1.9,2.01,2.36,
100,,2,2.04,2.36,
100,,2.1,2.04,2.36,
100,,2.2,2.01,2.35,
100,,2.3,2.01,2.36,
100,,2.4,2.01,2.39,
100,,2.5,1.97,2.39,
100,,2.6,2.02,2.33,
100,,2.7,2.02,2.36,
100,,2.8,2.01,2.35,
100,,2.9,2.01,2.37,
100,,3,2,2.37,
100,,3.1,2.06,2.36,
100,,3.2,2.01,2.36,
100,,3.3,2,2.36,
100,,3.4,2.01,2.32,
100,,3.5,2.02,2.4,
100,,3.6,1.99,2.37,
100,,3.7,2.01,2.36,
100,,3.8,2.01,2.37,
100,,3.9,2.01,2.35,
100,,4,2.01,2.36,
100,,4.1,2.04,2.36,
100,,4.2,2.07,2.36,
100,,4.3,2.01,2.36,
100,,4.4,2,2.37,
100,,4.5,2.01,2.35,
100,,4.6,2.03,2.36,
100,,4.7,2.05,2.31,
100,,4.8,2.01,2.38,
100,,4.9,2,2.36,
100,,5,2.01,2.32,
stop,,,,,
